OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
4969,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MULBRING,OPERATIONAL,,MULBRING,NEW SOUTH WALES,2323,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.90244833899993,151.4830555310001,,,,,,,,,,
4970,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MULLENGANDRA,OPERATIONAL,,MULLENGANDRA,NEW SOUTH WALES,2644,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.92271102199993,147.14590456400003,,,,,,,,,,
4971,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MUNDARLO,OPERATIONAL,,MUNDARLO,NEW SOUTH WALES,2729,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.14236652799997,147.80667282900004,,,,,,,,,,
4972,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,GLEN / MANNUS,OPERATIONAL,,MUNDEROO,NEW SOUTH WALES,2653,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.838683799999956,147.87533599800008,,,,,,,,,,
4973,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,MUNGINDI POLICE STATION,OPERATIONAL,146 GEORGE STREET,MUNGINDI,NEW SOUTH WALES,2406,NSW POLICE FORCE,,NSW POLICE FORCE,,,,NO GNAF POINT,-28.97663099999994,148.9859540000001,,,,,,,,,,
4974,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BENDOLBA-SALISBURY,OPERATIONAL,,MUNNI,NEW SOUTH WALES,2420,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.30537160299997,151.67969967300007,,,,,,,,,,
4975,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MUNYABLA,OPERATIONAL,,MUNYABLA,NEW SOUTH WALES,2658,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.47142591299996,146.92458460700004,,,,,,,,,,
4976,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MURGA,OPERATIONAL,,MURGA,NEW SOUTH WALES,2864,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.35716199999996,148.55414300000007,,,,,,,,,,
4977,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MURRAMI,OPERATIONAL,,MURRAMI,NEW SOUTH WALES,2705,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.42568064499994,146.30069123700002,,,,,,,,,,
4978,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MURRAY DOWNS,OPERATIONAL,,MURRAY DOWNS,NEW SOUTH WALES,2734,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-35.34487817799993,143.59955036300005,,,,,,,,,,
